"natc","codeTerme","codeTermePere","libAbr","libelle","Level"
1,100001,0,"A","VOIES DIGESTIVES ET METABOLISME",1
2,100002,100001,"A01","Preparations stomatologiques",2
3,100003,100002,"A01A","Preparations stomatologiques",3
4,100004,100003,"A01AA","Medicaments prophylactiques anticaries",4
5,100005,100004,"A01AA01","Sodium fluorure",5
6,100006,100004,"A01AA02","Sodium monofluorophosphate",5
7,100007,100004,"A01AA03","Olaflur",5
8,100008,100004,"A01AA30","Associations",5
9,100009,100003,"A01AB","Antiinfectieux pour traitement oral local",4
10,100010,100009,"A01AB02","Hydrogène peroxyde",5
11,100011,100009,"A01AB03","Chlorhexidine",5
12,100012,100009,"A01AB04","Amphotéricine b",5
13,100013,100009,"A01AB05","Polynoxyline",5
14,100014,100009,"A01AB06","Domiphène",5
15,100015,100009,"A01AB07","Hydroxy 8 quinoléine",5
16,100016,100009,"A01AB08","Neomycine",5
17,100017,100009,"A01AB09","Miconazole",5
18,100018,100009,"A01AB10","Natamycine",5
19,100019,100009,"A01AB11","Divers",5
20,100020,100009,"A01AB12","Héxétidine",5
21,100021,100009,"A01AB13","Tetracycline",5
22,100022,100009,"A01AB14","Benzoxonium chlorure",5
23,100023,100009,"A01AB15","Tibézonium iodure",5
24,100024,100009,"A01AB16","Mepartricine",5
25,100025,100009,"A01AB17","Métronidazole",5
26,100026,100009,"A01AB18","Clotrimazole",5
27,100027,100009,"A01AB19","Sodium perborate",5
28,100028,100009,"A01AB21","Chlortétracycline",5
29,100029,100003,"A01AC","Corticoides pour traitement oral local",4
30,100030,100029,"A01AC01","Triamcinolone",5
31,100031,100029,"A01AC02","Dexaméthasone",5
32,100032,100029,"A01AC03","Hydrocortisone",5
33,100033,100029,"A01AC54","Prednisolone en association",5
34,100034,100003,"A01AD","Autres medicaments pour traitement oral local",4
35,100035,100034,"A01AD01","Epinephrine",5
36,100036,100034,"A01AD02","Benzydamine",5
37,100037,100034,"A01AD05","Acétylsalicylique acide",5
38,100038,100034,"A01AD06","Adrénalone",5
39,100039,100034,"A01AD11","Divers",5
40,100040,100001,"A02","Antiacides, medicaments de l'ulcere peptique et des flatulences",2
41,100041,100040,"A02A","Antiacides",3
42,100042,100041,"A02AA","Antiacides a base de magnesium",4
43,100043,100042,"A02AA01","Magnésium carbonate",5
44,100044,100042,"A02AA02","Magnésium oxyde",5
45,100045,100042,"A02AA03","Magnesium peroxyde",5
46,100046,100042,"A02AA04","Magnésium hydroxyde",5
47,100047,100042,"A02AA05","Magnésium silicate",5
48,100048,100042,"A02AA10","Associations",5
49,100049,100041,"A02AB","Antiacides a base d'aluminium",4
50,100050,100049,"A02AB01","Aluminium hydroxyde",5
51,100051,100049,"A02AB02","Algeldrate",5
52,100052,100049,"A02AB03","Aluminium phosphate",5
53,100053,100049,"A02AB04","Dihydroxyaluminium sodium carbonate",5
54,100054,100049,"A02AB05","Aluminium acétoacétate",5
55,100055,100049,"A02AB06","Aloglutamol",5
56,100056,100049,"A02AB07","Aluminium glycinate",5
57,100057,100049,"A02AB10","Associations",5
58,100058,100041,"A02AC","Antiacides a base de calcium",4
59,100059,100058,"A02AC01","Calcium carbonate",5
60,100060,100058,"A02AC02","Calcium silicate",5
61,100061,100058,"A02AC10","Associations",5
62,100062,100041,"A02AD","Associations et complexes a base d'aluminium, de calcium et",4
63,100063,100062,"A02AD01","Associations de sels",5
64,100064,100062,"A02AD02","Magaldrate",5
65,100065,100062,"A02AD03","Almagate",5
66,100066,100062,"A02AD04","Hydrotalcite",5
67,100067,100062,"A02AD05","Almasilate",5
68,100068,100041,"A02AF","Antiacides avec antiflatulents",4
69,100069,100068,"A02AF01","Magaldrate et antiflatulents",5
70,100070,100068,"A02AF02","Associations de sels et antiflatulents",5
71,100071,100041,"A02AG","Antiacides avec antispasmodiques",4
