"oldid","name"
1,"AUTRE PATHOLOGIE ALLERGIQUE CUTANEE"
2,"CHOC ANAPHYLACTIQUE"
3,"CONJONCTIVITE ALLERGIQUE"
4,"RHINITE ALLERGIQUE"
5,"URTICAIRE"
6,"ANESTHESIE DE CONTACT"
7,"ANESTHESIE GENERALE"
8,"ANESTHESIE LOCALE"
9,"TUMEUR BENIGNE"
10,"TUMEUR MALIGNE"
11,"ARTERITE"
12,"AUTRE PATHOLOGIE CARDIO-VASCULAIRE"
13,"COLLAPSUS CARDIO-VASCULAIRE"
14,"EMBOLIE PULMONAIRE"
15,"ERETHISME CARDIAQUE"
16,"HYPERTENSION ARTERIELLE"
17,"HYPOTENSION ARTERIELLE"
18,"INSUFFISANCE CARDIAQUE"
19,"INSUFFISANCE CORONARIENNE (ANGOR et IDM)"
20,"INSUFFISANCE VEINEUSE"
21,"ISCHEMIE ARTERIELLE"
22,"OEDEME AUTRE"
23,"OEDEME DES MEMBRES INFERIEURS"
24,"PHLEBITE"
25,"THROMBOSE"
26,"TROUBLES DU RYTHME CARDIAQUE"
27,"TROUBLES VEINEUX SAI"
28,"VARICE"
29,"ACNE"
30,"ALOPECIE"
31,"AUTRE PATHOLOGIE CUTANEE"
32,"BRULURE"
33,"DERMATOSES INFECTIEUSES"
34,"DERMATOSES INFLAMMATOIRES"
35,"HYPERKERATOSES"
36,"IRRITATION CUTANEE"
37,"PIGMENTATION DE LA PEAU"
38,"PRURIT"
39,"PSORIASIS"
40,"SEBORRHEE"
41,"TROUBLES PIGMENTAIRES"
42,"ULCERES CUTANES"
43,"VASCULARITE"
44,"VERRUES"
45,"AUTRE PATHOLOGIE ENDOCRINIENNE"
46,"AUTRE PATHOLOGIE THYROIDIENNE"
47,"DIABETE INSIPIDE"
48,"DIABETE SUCRE"
49,"HYPERALDOSTERONISME"
50,"HYPERANDROGENIE"
51,"HYPERCORTISOLISME"
52,"HYPERPROLACTINEMIE"
53,"HYPERTHYROIDIE"
54,"HYPOALDOSTERONISME"
55,"HYPOGLYCEMIE"
56,"HYPOTHYROIDIE"
57,"INSUFFISANCE SURRENALE"
58,"OBESITE/AMAIGRISSEMENT"
59,"EXPLORATIONS FONCTIONNELLES"
60,"EXPLORATIONS ISOTOPIQUES"
61,"EXPLORATIONS METABOLIQUES ET HORMONALES"
62,"EXPLORATIONS OPHTALMOLOGIQUES"
63,"EXPLORATIONS RADIOLOGIQUES"
64,"AUTRE PATHOLOGIE DIGESTIVE"
65,"AUTRE PATHOLOGIE HEPATIQUE"
66,"CIRRHOSE"
67,"CONSTIPATION"
68,"DIARRHEE"
69,"DOULEURS DIGESTIVES ET BILIAIRES"
70,"DYSPEPSIE"
71,"GASTRITE"
72,"HEMORROIDES"
73,"HEPATITE VIRALE"
74,"LITHIASE BILIAIRE"
75,"MALADIE DE CROHN / RCH / EQUIVALENT"
76,"NAUSEES ET VOMISSEMENTS"
77,"OESOPHAGITE"
78,"PANCREATITE"
79,"RECTOCOLITE HEMORRAGIQUE"
80,"REFLUX GASTRO-OESPOPHAGIEN"
81,"TROUBLES DE LA SECRETION PANCREATIQUE"
82,"ULCERE DIGESTIF"
83,"ALLAITEMENT"
84,"AUTRE PATHOLOGIE GYNECOLOGIQUE"
85,"AUTRE PATHOLOGIE MAMMAIRE"
86,"CONTRACEPTION FEMININE"
87,"DYSMENORRHEE"
88,"ENDOMETRIOSE"
89,"HYPEROESTROGENIE"
90,"HYPOOESTROGENIE"
91,"INSUFFISANCE LUTEALE"
92,"MENACE D'ACCOUCHEMENT PREMATURE"
93,"MENACE D'AVORTEMENT"
94,"MENOPAUSE"
95,"STERILITE"
96,"VAGINITE"
97,"ANEMIES CARENTIELLES"
98,"AUTRE CYTOPENIE"
99,"AUTRE PATHOLOGIE HEMATOPOIETIQUE"
100,"HEMORRAGIE"
101,"POLYGLOBULIE"
102,"ANGINE"
103,"ANTISEPSIE LOCALE"
104,"BRONCHITE ET TRACHEITE"
105,"BRONCHOPNEUMOPATHIE"
106,"FIEVRE"
107,"HERPES"
108,"INFECTION URINAIRE"
109,"INFECTIONS BACTERIENNES"
110,"INFECTIONS FUNGIQUES"
111,"INFECTIONS VIRALES"
112,"LEPRE"
113,"MYCOSE (autre que vaginale)"
114,"PARASITOSE"
115,"PNEUMOPATHIE"
116,"PROPHYLAXIE AUTRES INFECTIONS (paludisme..)"
117,"PYELONEPHRITE"
118,"SIDA"
119,"SYPHILIS"
120,"TUBERCULOSE"
121,"CARENCES DIVERSES"
122,"DESHYDRATATION"
123,"HYPERAMMONIEMIE"
124,"HYPERCALCEMIE"
125,"HYPERKALIEMIE"
