"nproduit","natc"
2,491
3,1565
4,2467
5,2540
6,1857
7,1996
8,4963
9,3863
10,1325
11,4102
12,2972
13,57
14,1691
15,352
16,586
17,2668
18,586
19,5023
20,346
21,3951
22,4104
23,3950
24,4129
25,663
26,5023
27,5023
28,3943
29,586
30,1664
31,5023
32,665
33,423
34,3282
35,2964
36,1438
37,1424
38,3321
39,866
40,1387
41,3531
42,986
43,586
44,1003
45,1302
46,2030
47,2445
48,4988
49,937
50,713
51,2814
52,2814
53,498
54,2962
55,4485
56,413
57,1285
58,3282
59,3306
60,4898
61,1558
62,288
63,2337
64,3490
65,4991
66,3485
67,2937
68,3988
69,4126
70,3393
71,3393
72,772
73,2177
74,1195
75,1184
76,1203
77,1023
78,3348
79,3180
80,2391
81,3044
82,2962
83,3044
84,3232
85,204
86,3284
87,698
88,3313
89,413
90,3085
92,3660
93,3282
94,4939
95,2751
96,4171
97,4547
98,3916
99,3011
100,3052
101,3110
103,4550
104,4443
105,19
106,1898
107,1558
108,1898
109,1995
110,411
111,3211
112,4971
113,4971
114,4971
115,4380
116,4971
117,1613
118,1039
119,2266
120,361
121,4915
122,488
123,4554
124,462
125,2540
126,4107
127,2825
128,398
129,2492
130,5023
131,905
132,1383
133,2337
134,2337
135,2337
136,1302
137,2321
138,1914
139,2334
140,2834
141,4940
142,1522
143,1527
144,2321
145,3959
146,3969
147,411
148,3620
149,937
150,937
151,2962
152,2874
153,3587
154,219
155,1616
156,2549
157,4948
158,2141
159,2049
160,4587
161,5017
162,1271
163,398
164,2560
165,2970
166,681
167,3243
168,4437
169,2962
170,586
171,4297
172,1871
173,4515
174,1646
175,3121
176,3287
177,63
178,1252
179,1252
180,313
181,5023
182,3044
183,5012
184,1273
185,3562
186,3507
187,1903
188,231
189,4565
190,2397
191,1599
192,3348
193,631
194,4211
195,5023
196,3861
197,3421
198,2963
199,1451
200,2160
201,2789
202,4985
203,580
204,3128
205,361
206,252
207,586
208,4914
209,3719
210,2879
211,5023
212,5023
213,2321
214,4057
215,5023
216,251
217,2003
218,5023
219,491
220,586
221,243
222,2996
223,3392
224,5023
225,1315
226,2938
227,39
228,34
229,2954
230,5023
231,660
232,3872
233,586
234,727
235,513
236,586
237,5084
238,4976
239,3267
240,3282
241,3267
242,3267
243,3282
244,3287
245,3267
246,3691
247,1453
248,3524
249,4271
250,1324
251,4972
252,3659
253,4161
254,4104
255,3776
256,4562
257,175
258,4020
259,3903
260,5023
261,5023
262,2377
263,1640
264,4516
265,5021
266,492
267,300
268,3298
269,2711
270,491
271,1565
272,1309
273,2897
274,2406
275,3690
276,2425
277,2476
278,77
279,485
280,530
281,72
282,507
283,2339
284,4357
285,383
286,5009
287,3095
288,383
289,2337
290,2460
291,3941
292,4574
293,3943
294,4162
295,5023
296,3298
297,3486
298,2285
299,3044
300,3044
301,3043
302,2343
303,1390
304,4144
305,520
306,4014
307,3923
308,3923
309,4014
310,507
311,4908
312,1472
313,522
314,198
315,198
316,3767
317,3950
318,503
319,4405
320,1802
321,5012
322,525
323,1578
324,1309
325,511
326,3990
327,1396
328,1571
329,1793
330,2898
331,2250
332,4402
333,2373
334,4403
335,1318
336,530
337,1324
338,1765
339,2250
340,1697
341,1747
342,4401
343,507
344,586
345,503
347,1565
348,415
349,2355
350,2765
351,341
352,2863
353,3814
354,4158
355,5023
356,5012
357,3943
358,584
359,2467
360,582
361,4264
362,4927
363,523
364,586
365,529
366,1558
367,4923
368,2964
369,4089
370,1777
371,3969
372,2321
373,4103
374,1405
375,3969
376,2823
377,5026
378,5027
379,5028
380,5023
381,351
382,3131
383,5023
384,4436
385,4935
386,4935
387,3070
388,995
389,1330
390,1864
391,2956
392,1439
393,3989
394,1425
395,3163
396,1142
397,2337
398,2370
399,1514
400,4967
401,3507
402,2002
403,4129
404,4104
405,4099
406,4099
407,4008
408,4104
409,4099
410,4099
411,4126
412,4102
413,4104
414,4104
415,3951
416,4104
417,3960
418,3951
419,3943
420,4158
421,4016
422,4104
423,2962
424,1558
425,3959
426,4898
427,3195
428,1169
429,174
430,3535
431,2931
432,1600
433,515
434,549
435,549
436,2307
437,1613
438,2814
439,3686
441,4982
442,538
443,538
444,549
445,578
446,547
447,633
448,538
449,549
450,2307
451,541
452,4569
454,547
455,536
